Source,Page,Technologies,Description,
"Sydney, Australia",7,Reporting and analytics software,"""Deliver high-quality internal and external environmental reporting and communications.""",
"Sydney, Australia",8,"Electric vehicles, hybrid vehicles","""City fleet has 19 electric cars, 40 hybrid cars, 70 hybrid trucks and one fully electric truck.""",
"Sydney, Australia",9,Building rating and assessment technology,"""Advocated for a National Australian Built Environment Rating System (NABERS) tool for apartment buildings, with 89 buildings rated to June 2020.""",
"Sydney, Australia",16,"Waste management technology, recycling technology","""Many participants want more education programs and initiatives that encourage people to reduce their waste, and for the City to use new technologies to manage waste and recycling more efficiently.""",
"Sydney, Australia",19,"Energy efficiency technologies (lighting, heating, cooling systems)","""We achieved energy savings through significant projects like our Major Properties Efficiency Project to improve lighting, heating and cooling systems.""",
"Sydney, Australia",20,Renewable electricity sourcing (wind and solar farms),"""The City of Sydney began using 100 per cent renewables to meet its grid electricity needs in July 2020.""",
"Sydney, Australia",22,Water recycling systems,"The City has ""optimised performance of our water recycling schemes, water features and irrigation systems"" to enhance water use efficiency.",
"Sydney, Australia",24,"Processing facility, fuel production technology","""Garbage that previously went to landfill is now sent to a processing facility where it is used to create fuel that displaces coal in a local brick kiln.""",
"Sydney, Australia",25,"Climate bond certification, investment products","""The City placed its first investment in early 2020... in Climate Bond-certified Green Term Deposits with the Commonwealth Bank of Australia.""",
"Sydney, Australia",26,"Water sourcing technology, irrigation data analytics","""We will investigate and implement alternative water sources for priority parks.""",
"Sydney, Australia",29,"Green Star certification system, renewable energy technologies","""Under this system, buildings must be net-zero (fully electric, fossil-fuel free and 100 per cent powered by renewables)"" to achieve the highest possible 6 Star rating.",
"Sydney, Australia",30,Renewable energy infrastructure (including solar and wind power),"""The NSW Government has passed the Electricity Infrastructure Investment Act 2020 and released a roadmap to provide support and investment certainty for Renewable Energy Zones across the state. This is expected to deliver a NSW grid that is 60 per cent renewable by 2030.""",
"Sydney, Australia",31,"Online resource center, marketing platforms","""A range of resources and marketing content promoting GreenPower have been shared online through the Renewable Energy Help Centre.""",
